# Div ID,Division,SD ID,,Subdivision,SD Type,,Municipality table 2011,
1,Division No.  1,9,,Alexander,Rural municipality,,RM of Alexander,
1,Division No.  1,8,,Buffalo Point 36,Indian reserve,,,
1,Division No.  1,14,,"Division No.  1, Unorganized",Unorganized,,,
1,Division No.  1,6,,Lac du Bonnet,Rural municipality,,RM of Lac Du Bonnet,
1,Division No.  1,7,,Lac du Bonnet,Town,,Town of Lac Du Bonnet,
1,Division No.  1,5,,Pinawa,Local government district,,LGD of Pinawa,
1,Division No.  1,2,,Piney,Rural municipality,,,
1,Division No.  1,10,,Powerview-Pine Falls,Town,,Town of Powerview/Pine Falls,
1,Division No.  1,3,,Reynolds,Rural municipality,,,
1,Division No.  1,13,,Shoal Lake (Part) 39A,Indian reserve,,,
1,Division No.  1,12,,Shoal Lake (Part) 40,Indian reserve,,,
1,Division No.  1,1,,Stuartburn,Rural municipality,,,
1,Division No.  1,11,,Victoria Beach,Rural municipality,,RM of Victoria Beach,
1,Division No.  1,4,,Whitemouth,Rural municipality,,,
2,Division No.  2,18,,De Salaberry,Rural municipality,,RM of DeSalaberry,
2,Division No.  2,15,,Franklin,Rural municipality,,,
2,Division No.  2,20,,Hanover,Rural municipality,,,
2,Division No.  2,23,,La Broquerie,Rural municipality,,RM of La Broquerie,
2,Division No.  2,22,,Niverville,Town,,,
2,Division No.  2,27,,Ritchot,Rural municipality,,RM of Ritchot,
2,Division No.  2,16,,Roseau Rapids 2A,Indian reserve,,,
2,Division No.  2,17,,Roseau River 2,Indian reserve,,,
2,Division No.  2,24,,Ste. Anne,Rural municipality,,,
2,Division No.  2,25,,Ste. Anne,Town,,Town of Ste. Anne,
2,Division No.  2,21,,Steinbach,City,,City of Steinbach,
2,Division No.  2,19,,St-Pierre-Jolys,Village,,Village of St. Pierre,
2,Division No.  2,26,,Taché,Rural municipality,,RM of Tache,
3,Division No.  3,32,,Altona,Town,,Town of Altona,
3,Division No.  3,42,,Carman,Town,,Town of Carman,
3,Division No.  3,41,,Dufferin,Rural municipality,,RM of Dufferin,
3,Division No.  3,29,,Emerson,Town,,Town of Emerson,
